상품명,거래량,최근거래가,발매일,발매일로부터현재까지일,발매가,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일,가격변동성,수익률,콜라보,브랜드_Adidas,브랜드_Asics,브랜드_Converse,브랜드_Jordan,브랜드_Mihara Yasuhiro,브랜드_New Balance,브랜드_Nike,브랜드_Puma,브랜드_Salomon,브랜드_Vans
나이키 V2K 런 라이트 오어우드 브라운 카키,4.748321298,3.427710548,2024-01-04,12.40223739,3.959586,4,2.86965745,2024-05-10,3.734096313,2024-03-19,20.3458268,2.630285078,549.9246658,16.36925312,0,0,0,0,0,0,0,1,0,0,0
나이키 에어 줌 알파플라이 넥스트% 3 볼트,4.753022151,3.471594116,2024-02-15,10.65756215,4.00645625,4,2.885397238,2024-02-15,3.800697695,2024-05-07,15.89824938,3.678740081,421.3073189,34.61974264,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 에어포스 1 '07 WB 플랙스 위트,4.535705993,3.445502732,2023-12-18,13.00645369,3.969553058,3,2.876574889,2024-03-18,3.746307941,2024-05-14,18.83668579,2.667595508,748.7012255,31.04996496,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 코르테즈 SE 밸런타인데이 세일 어도비,4.742146353,3.432312562,2024-02-14,10.70453194,3.955054933,4,2.86965745,2024-02-02,3.727202466,2024-03-26,20.9150937,2.736732394,644.7409056,19.77535451,0,0,0,0,0,0,0,1,0,0,0
나이키 V2K 런 화이트 퍼,4.735441,3.433909931,2023-09-08,15.90000729,3.959586,4,2.870448512,2024-02-22,3.712485437,2023-12-28,19.69362078,3.576885277,853.6302611,18.72332684,0,0,0,0,0,0,0,1,0,0,0
나이키 프리미어 3 TF 블랙 화이트,3.921651148,3.406962063,2022-02-13,24.8765939,3.960059705,2,2.867987271,2023-09-16,3.706008016,2024-05-13,12.80203337,1.898699836,818.5637937,11.09226256,0,0,0,0,0,0,0,1,0,0,0
나이키 코르테즈 미드나잇 네이비,3.838220805,3.425327899,2023-05-07,18.54086384,3.950066949,4,2.873785965,2023-06-07,3.720836711,2023-11-08,15.36048821,1.787027315,909.5076623,36.93320901,0,0,0,0,0,0,0,1,0,0,0
나이키 코르테즈 화이트 캠프파이어 오렌지,3.864375539,3.418949539,2023-09-26,15.47480318,3.951514441,3,2.861272849,2024-01-27,3.706008016,2024-05-10,14.06686561,2.229786259,528.1013193,-8.159619252,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 코르테즈 화이트 레드 스타더스트,4.708932532,3.424491394,2023-07-14,17.20091705,3.950066949,4,2.874063503,2024-02-29,3.721681082,2024-03-03,20.75935268,2.667595508,912.9284933,37.94239683,0,0,0,0,0,0,0,1,0,0,0
나이키 에어 쿠키니 원 블루 옵시디언,4.613010118,3.416869514,2023-03-23,19.37142257,3.9675446,3,2.87118791,2024-03-09,3.699893806,2024-05-18,20.35018772,3.638306584,998.3997757,14.82048922,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 코르테즈 빈티지 클로로필 스웨이드,4.25119232,3.425327899,2024-01-12,12.13892949,3.955054933,3,2.869739061,2024-05-18,3.724915363,2024-05-14,18.23448727,2.159737683,678.4230619,20.01777718,0,0,0,0,0,0,0,1,0,0,0
나이키 코르테즈 블랙 화이트,4.120096614,3.41465009,2023-12-13,13.20907553,3.950066949,2,2.867796915,2024-02-14,3.711462713,2024-04-03,15.12730297,1.499690641,751.0670132,18.08511074,0,0,0,0,0,0,0,1,0,0,0
나이키 줌 보메로 5 라이트 본 앤 블랙,5.011753058,3.468397359,2023-08-03,16.76403497,3.985507349,2,2.885841884,2024-04-05,3.767955784,2023-09-06,21.01776208,4.422288237,985.7741384,59.60921013,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 코르테즈 블랙 앤 화이트,4.471393805,3.422297631,2023-07-14,17.20091705,3.950066949,2,2.870448512,2023-11-02,3.720836711,2024-05-01,17.59684551,2.667595508,761.553027,25.87053328,0,0,0,0,0,0,0,1,0,0,0
나이키 에어 쿠키니 필그림 세쿼이아,4.564592284,3.411020266,2022-12-27,20.77567749,3.9675446,3,2.86679731,2024-03-21,3.692961257,2023-09-10,17.90605926,3.245561783,899.2772601,-0.682923778,0,0,0,0,0,0,0,1,0,0,0
나이키 터미네이터 하이 유니버시티 레드 앤 화이트,4.157998247,3.421840118,2023-06-10,17.902581,3.971072721,2,2.868808082,2023-06-06,3.689912429,2024-05-11,14.55653133,2.293748371,996.1799158,4.094783118,0,0,0,0,0,0,0,1,0,0,0
나이키 덩크 로우 SP 화이트 앤 유니버시티 레드 2023,5.042245685,3.430969824,2023-09-09,15.90000729,3.959586,2,2.872845214,2024-02-03,3.722510684,2024-02-14,21.20524877,4.406614197,851.1349228,26.18257994,0,0,0,0,0,0,0,1,0,0,0
나이키 에어 휴마라 미드나잇 네이비 앤 옵시디언,4.390060714,3.450548341,2023-02-28,19.76430051,3.977411166,2,2.873785965,2023-12-12,3.724915363,2024-02-08,18.59947513,3.027508338,867.1994568,15.10953935,0,0,0,0,0,0,0,1,0,0,0
나이키 코비 6 프로트로 리버스,4.593767492,3.47846064,2023-12-15,13.14210514,3.985507349,2,2.889283039,2024-04-20,3.799579187,2024-01-10,15.93257293,3.854508339,765.7245854,85.18154066,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 덩크 로우 빈티지 블랙 앤 화이트,4.659793248,3.419942013,2023-10-18,14.89334674,3.9675446,3,2.874597259,2023-10-18,3.712485437,2024-04-21,18.71907029,3.799213188,1018.470948,25.7139304,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 P-6000 레이저 블루,4.648761077,3.435128174,2019-05-03,33.34847395,3.958002652,2,2.879890218,2022-05-06,3.720836711,2024-02-01,17.06727838,3.818210625,1145.185194,55.67915989,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 코르테즈 화이트 유니버시티 블루,4.018453445,3.412883596,2023-07-14,17.20091705,3.950066949,4,2.867892471,2024-04-08,3.711462713,2024-05-10,15.87941384,2.293748371,755.2146118,18.35559394,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 덩크 로우 프리미엄 미드나잇 네이비 앤 화이트,4.740735551,3.428836214,2023-08-24,16.28326297,3.9675446,3,2.871813855,2023-08-31,3.719977094,2024-04-06,20.27745237,4.04415521,832.9287832,16.75063154,0,0,0,0,0,0,0,1,0,0,0
나이키 P-6000 코코넛 밀크 미디움 블루,4.791460309,3.426142609,2023-03-22,19.38879559,3.968809934,4,2.87577474,2023-04-09,3.728666846,2024-04-30,17.88172055,3.779603488,916.3546671,28.77130974,0,0,0,0,0,0,0,1,0,0,0
